sweep,engine,connections,body_bytes,requests,rps,mean_ms,p50_ms,p99_ms,cpu_cores,cpu_us_per_request
concurrency,httpsys,1,0,46142,11534.8,0.0860,0.0835,0.1338,0.7577,65.69
concurrency,httpsys,2,0,98860,24711.4,0.0804,0.0713,0.1497,1.3239,53.58
concurrency,httpsys,4,0,154581,38635.4,0.1027,0.0966,0.1854,2.0615,53.37
concurrency,httpsys,8,0,223848,55943.4,0.1420,0.1370,0.2432,3.4274,61.29
concurrency,httpsys,16,0,278099,69494.3,0.2291,0.2231,0.3728,4.5502,65.51
concurrency,httpsys,32,0,323324,80775.7,0.3946,0.3901,0.7009,5.5896,69.25
concurrency,httpsys,64,0,379223,94717.2,0.6735,0.6481,1.4321,6.5659,69.39
concurrency,httpsys,128,0,385835,96308.4,1.3246,1.2563,2.8159,6.3814,66.33
concurrency,httpsys,256,0,386681,96436.5,2.6435,2.5544,5.2524,6.8702,71.32
concurrency,httpsys,512,0,361229,89951.2,5.6516,5.3634,12.0401,6.3081,70.20
concurrency,axum,1,0,55546,13885.8,0.0714,0.0672,0.1214,0.6757,48.66
concurrency,axum,2,0,127866,31962.2,0.0621,0.0552,0.1366,0.9723,30.43
concurrency,axum,4,0,155864,38958.5,0.1019,0.0918,0.2267,1.9015,48.82
concurrency,axum,8,0,235151,58767.7,0.1352,0.1294,0.2516,3.3295,56.68
concurrency,axum,16,0,272599,68108.4,0.2337,0.2255,0.4074,4.2453,62.36
concurrency,axum,32,0,321546,80347.2,0.3967,0.3810,0.6982,4.8542,60.45
concurrency,axum,64,0,354890,88647.2,0.7192,0.6814,1.4103,6.1854,69.83
concurrency,axum,128,0,380849,95102.5,1.3413,1.2723,2.6836,6.1309,64.54
concurrency,axum,256,0,357988,89272.1,2.6760,2.6108,5.3703,6.3402,71.10
concurrency,axum,512,0,331879,82641.3,5.2417,5.3913,11.1281,6.4172,77.73
size,httpsys,32,1024,314327,78524.0,0.4057,0.4014,0.7137,5.7849,73.72
size,httpsys,32,4096,291195,72760.6,0.4380,0.4319,0.7930,5.2247,71.85
size,httpsys,32,16384,270402,67558.4,0.4717,0.4622,0.8418,5.8367,86.45
size,httpsys,32,65536,199976,49970.6,0.6380,0.6197,1.0131,6.1307,122.75
size,httpsys,32,262144,98727,24669.5,1.2936,1.2419,2.4006,4.3717,177.26
size,httpsys,32,1048576,9152,2282.7,13.9824,13.4311,25.4010,9.5282,4174.29
size,httpsys,32,4194304,2220,550.7,57.7690,56.7613,95.8441,7.3719,13386.82
size,httpsys,32,8388608,1006,246.6,128.4380,127.0090,198.9611,6.1045,24757.70
size,axum,32,1024,314827,78664.1,0.4050,0.3885,0.7153,5.3764,68.39
size,axum,32,4096,299924,74923.7,0.4252,0.4065,0.7552,5.4300,72.52
size,axum,32,16384,286229,71515.2,0.4456,0.4258,0.8048,5.8992,82.54
size,axum,32,65536,233362,58310.7,0.5465,0.5241,0.9759,6.0911,104.52
size,axum,32,262144,108394,27080.4,1.1771,1.1003,2.5064,8.6359,319.00
size,axum,32,1048576,10796,2691.6,11.8520,11.3188,22.6895,16.5324,6142.32
size,axum,32,4194304,2392,593.0,53.6580,51.1194,99.9170,18.1275,30570.65
size,axum,32,8388608,1161,284.8,111.2106,107.6025,189.3403,18.3190,64330.32
